zip_code,ev_vehicles,zev_vehicles,light_duty_vehicles,ev_share_light_duty,zcta_area_sq_mi,zcta_population
94015,2910,2931,41771,0.06966555744415982,5.65611022038247,64091.0
92517,13,13,902,0.014412416851441241,,
95754,0,0,1,0.0,,
90617,0,0,1,0.0,,
95881,0,0,1,0.0,,
91792,1250,1264,20449,0.06112768350530588,3.8421322235454425,30629.0
99033,1,1,1,1.0,39.56802381135908,832.0
91009,5,5,205,0.024390243902439025,,
91506,1218,1229,14507,0.08395946784311022,2.423328912027689,18612.0
92378,11,11,499,0.022044088176352707,0.8019959814503486,315.0
94709,425,428,4702,0.09038706933219906,0.6755962839538963,12146.0
93252,4,4,899,0.004449388209121246,452.6281287304064,1295.0
94244,16,16,583,0.0274442538593482,,
90067,821,823,3771,0.2177141341819146,0.4301575989481592,3875.0
94236,0,0,113,0.0,,
95341,271,272,22505,0.012041768495889803,148.2390153127668,36385.0
92857,0,0,57,0.0,,
90653,0,0,0,,,
92601,0,0,1,0.0,,
91775,1797,1829,17082,0.10519845451352301,3.1136493202790656,23672.0
94207,0,0,1,0.0,,
96863,0,0,2,0.0,1.016191141462636,2302.0
93635,829,830,38262,0.02166640531075218,397.28842165988004,50149.0
92530,1551,1556,44029,0.03522678234799791,82.61727505278711,61768.0
91948,2,2,178,0.011235955056179775,34.94036046009448,93.0
94708,1587,1591,8090,0.196168108776267,3.3421873366941663,11947.0
95244,0,0,1,0.0,,
92688,3234,3253,34817,0.09288565930436281,13.23919815779322,43320.0
94924,81,81,1069,0.07577174929840973,27.529889675366995,1372.0
98342,0,0,2,0.0,3.5338353151240596,1338.0
91720,2,2,32,0.0625,,
90838,0,0,0,,,
92331,13,13,616,0.021103896103896104,,
95416,10,10,1023,0.009775171065493646,,
93318,0,0,1,0.0,,
95418,3,3,488,0.006147540983606557,,
96059,4,4,457,0.0087527352297593,63.60989659059049,826.0
91936,0,0,0,,,
96661,0,0,3,0.0,,
92969,0,0,1,0.0,,
96128,2,2,581,0.0034423407917383822,22.648496352717252,656.0
92249,78,78,6944,0.011232718894009217,19.86177201377063,7312.0
98052,15,15,109,0.13761467889908258,21.088245182602,80717.0
95952,0,0,4,0.0,,
94387,0,0,1,0.0,,
92684,12,13,274,0.043795620437956206,,
95388,109,109,10071,0.010823155595273557,37.859142890786174,13319.0
94505,870,874,12645,0.06880189798339265,22.465581410005157,14970.0
95227,17,17,782,0.021739130434782608,41.04054636072268,910.0
98671,3,3,35,0.08571428571428572,87.43389094054638,24871.0
91603,5,5,160,0.03125,,
98661,23,23,99,0.23232323232323232,11.611135009221165,50743.0
93341,0,0,1,0.0,,
95449,36,36,1559,0.023091725465041693,138.87211613309205,1763.0
96056,8,8,1553,0.0051513200257566,219.42107980086624,1584.0
90255,668,684,41397,0.016136435007367684,3.729231763413595,69349.0
95221,4,4,1137,0.003518029903254178,0.23155881857628252,259.0
94646,0,0,2,0.0,,
91310,2,2,117,0.017094017094017096,,
97239,4,4,43,0.09302325581395349,3.7549901495227074,17804.0
99762,0,0,5,0.0,1716.1873368205045,4156.0
95837,24,24,451,0.05321507760532151,14.77592236667912,317.0
92556,2,2,356,0.0056179775280898875,,
